datetime,device,temperature,humidity
2026-03-14 20:55:51,防水温湿度計 上,19.6,81
2026-03-14 20:55:51,防水温湿度計 下,17.5,99
2026-03-14 21:51:11,防水温湿度計 箱の外 上,13,41
2026-03-14 21:51:11,防水温湿度計 上,19.3,82
2026-03-14 21:51:11,防水温湿度計 下,17.3,99
2026-03-14 22:57:00,防水温湿度計 箱の外 上,13.4,41
2026-03-14 22:57:00,防水温湿度計 上,19.2,84
2026-03-14 22:57:00,防水温湿度計 下,17.3,99
2026-03-14 23:54:08,防水温湿度計 箱の外 上,14.4,43
2026-03-14 23:54:08,防水温湿度計 上,19.5,85
2026-03-14 23:54:08,防水温湿度計 下,17.9,99
2026-03-15 05:43:28,防水温湿度計 箱の外 上,21.1,38
2026-03-15 05:43:28,防水温湿度計 上,22.8,85
2026-03-15 05:43:28,防水温湿度計 下,22.1,99
2026-03-15 07:53:34,防水温湿度計 箱の外 上,21.3,35
2026-03-15 07:53:34,防水温湿度計 上,23.4,81
2026-03-15 07:53:34,防水温湿度計 下,22.8,98
2026-03-15 09:49:43,防水温湿度計 箱の外 上,18.5,37
2026-03-15 09:49:43,防水温湿度計 上,22.4,80
2026-03-15 09:49:43,防水温湿度計 下,21.2,98
2026-03-15 11:00:35,防水温湿度計 箱の外 上,17,38
2026-03-15 11:00:35,防水温湿度計 上,21.8,79
2026-03-15 11:00:35,防水温湿度計 下,20.2,98
2026-03-15 11:52:22,防水温湿度計 箱の外 上,16.4,38
2026-03-15 11:52:22,防水温湿度計 上,21.2,79
2026-03-15 11:52:22,防水温湿度計 下,19.8,98
2026-03-15 13:59:45,防水温湿度計 箱の外 上,15,40
2026-03-15 13:59:45,防水温湿度計 上,20.6,81
2026-03-15 13:59:45,防水温湿度計 下,18.8,98
2026-03-15 15:00:41,防水温湿度計 箱の外 上,14.6,40
2026-03-15 15:00:41,防水温湿度計 上,20.1,82
2026-03-15 15:00:41,防水温湿度計 下,18.5,98
2026-03-15 15:56:06,防水温湿度計 箱の外 上,14,41
2026-03-15 15:56:06,防水温湿度計 上,19.8,82
2026-03-15 15:56:06,防水温湿度計 下,18.1,98
2026-03-15 17:01:51,防水温湿度計 箱の外 上,13.4,42
2026-03-15 17:01:51,防水温湿度計 上,19.5,82
2026-03-15 17:01:51,防水温湿度計 下,17.6,99
2026-03-15 17:58:36,防水温湿度計 箱の外 上,13,42
2026-03-15 17:58:36,防水温湿度計 上,19.2,83
2026-03-15 17:58:36,防水温湿度計 下,17.3,99
2026-03-15 19:18:54,防水温湿度計 箱の外 上,12.5,43
2026-03-15 19:18:54,防水温湿度計 上,18.8,84
2026-03-15 19:18:54,防水温湿度計 下,16.9,99
2026-03-15 19:55:25,防水温湿度計 箱の外 上,12.3,43
2026-03-15 19:55:25,防水温湿度計 上,18.6,83
2026-03-15 19:55:25,防水温湿度計 下,16.8,99
2026-03-15 20:58:06,防水温湿度計 箱の外 上,11.9,43
2026-03-15 20:58:06,防水温湿度計 上,18.4,84
2026-03-15 20:58:06,防水温湿度計 下,16.6,99
2026-03-15 21:53:42,防水温湿度計 箱の外 上,11.8,44
2026-03-15 21:53:42,防水温湿度計 上,18.2,85
2026-03-15 21:53:42,防水温湿度計 下,16.4,99
2026-03-15 23:00:00,防水温湿度計 箱の外 上,12.5,45
2026-03-15 23:00:00,防水温湿度計 上,18.3,87
2026-03-15 23:00:00,防水温湿度計 下,16.7,99
2026-03-15 23:56:29,防水温湿度計 箱の外 上,16,41
2026-03-15 23:56:29,防水温湿度計 上,19.2,82
2026-03-15 23:56:29,防水温湿度計 下,17.5,99
2026-03-16 06:00:18,防水温湿度計 箱の外 上,24.8,27
2026-03-16 06:00:18,防水温湿度計 上,24.8,75
2026-03-16 06:00:18,防水温湿度計 下,24.8,91
2026-03-16 09:47:57,防水温湿度計 箱の外 上,20.1,29
2026-03-16 09:47:57,防水温湿度計 上,23.9,72
2026-03-16 09:47:57,防水温湿度計 下,22.7,83
2026-03-16 12:01:51,防水温湿度計 箱の外 上,17.6,34
2026-03-16 12:01:51,防水温湿度計 上,22.2,72
2026-03-16 12:01:51,防水温湿度計 下,20.7,84
2026-03-16 15:47:01,防水温湿度計 箱の外 上,15.7,38
2026-03-16 15:47:01,防水温湿度計 上,20.9,75
2026-03-16 15:47:01,防水温湿度計 下,19,85
